Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Elevation_ft,Continent,Country_name,Iso_country,Region_name,Iso_region,Local_region,Municipality,Scheduled_service,Gps_code,Iata_code,Local_code,Home_link,Wikipedia_link,Keywords,Score,Last_updated
325265,MX-0596,seaplane_base,"Paredes Seaplane Base",31.311,-113.552331,0,NA,Mexico,MX,Sonora,MX-SON,SON,"Puerto Peñasco",0,,,PDZ,,,,0,2017-10-22T22:40:38+00:00
316215,CA-0558,seaplane_base,"Rocher River Water Aerodrome.",61.379,-112.744,515,NA,Canada,CA,"Northwest Territories",CA-NT,NT,"Rocher River",0,,,EY8,,,,0,2015-11-04T23:30:54+00:00
329070,US-0957,seaplane_base,"Harmon Seaplane Base",30.249066,-92.085515,35,NA,"United States",US,Louisiana,US-LA,LA,Scott,0,0LA6,,0LA6,,,,0,2018-08-23T12:06:34+00:00
347731,US-5181,seaplane_base,"Serenity Seaplane Base",29.572889,-95.050561,0,NA,"United States",US,Texas,US-TX,TX,Seabrook,0,95XS,,95XS,,,,0,2021-09-19T08:33:40+00:00
308375,SYB,seaplane_base,"Seal Bay Seaplane Base",58.373291,-152.201797,,NA,"United States",US,Alaska,US-AK,AK,"Seal Bay",0,,SYB,,,https://en.wikipedia.org/wiki/Seal_Bay_Seaplane_Base,,0,2021-05-29T11:21:27+00:00
45237,AL58,seaplane_base,"Lower Delta Seaplane Base",30.675476,-87.959871,0,NA,"United States",US,Alabama,US-AL,AL,"Spanish Fort",0,AL58,,AL58,,,,0,2009-12-06T18:30:00+00:00
314542,RSE,seaplane_base,"Rose Bay Seaplane Base",-33.869,151.262,0,OC,Australia,AU,"New South Wales",AU-NSW,NSW,Sydney,0,,RSE,,,,,0,2015-05-14T23:25:08+00:00
45246,AK8,seaplane_base,"Christiansen Lake Seaplane Base",62.313414,-150.06935,400,NA,"United States",US,Alaska,US-AK,AK,Talkeetna,0,AK8,,AK8,,,,0,2013-03-28T01:08:50+00:00
316461,YBQ,seaplane_base,"Telegraph Harbour Seaplane Base",48.97,-123.664,0,NA,Canada,CA,"British Columbia",CA-BC,BC,"Thetis Island",0,,YBQ,,,,,0,2015-12-04T11:25:20+00:00
312331,NFRS,seaplane_base,"Treasure Island Seaplane Base",-17.6554,177.2654,0,OC,Fiji,FJ,Western,FJ-W,W,"Treasure Island Resort",0,NFRS,,,,,,0,2014-06-29T15:10:51+00:00
25495,VI22,seaplane_base,"Charlotte Amalie Harbor Seaplane Base",18.338600158691406,-64.9406967163086,,NA,"U.S. Virgin Islands",VI,(unassigned),VI-U-A,U-A,"Charlotte Amalie St Thomas",1,VI22,SPB,VI22,,https://en.wikipedia.org/wiki/Charlotte_Amalie_Harbor_Seaplane_Base,,625,2008-11-13T12:30:40+00:00
25496,VI32,seaplane_base,"Christiansted Harbor Seaplane Base",17.74720001220703,-64.70490264892578,,NA,"U.S. Virgin Islands",VI,(unassigned),VI-U-A,U-A,"Christiansted St Croix",1,VI32,SSB,VI32,,https://en.wikipedia.org/wiki/Christiansted_Harbor_Seaplane_Base,,625,2008-11-13T12:30:14+00:00
35302,AU-HIS,seaplane_base,"Hayman Island Resort Seaplane Base",-20.059999465942383,148.88099670410156,,OC,Australia,AU,Queensland,AU-QLD,QLD,"Hayman Island",1,,HIS,,,,,625,2008-07-14T08:45:08+00:00
12360,5G3,seaplane_base,"East Dakota Flying Club Seaplane Base",43.965198516799994,-97.029800415,1600,NA,"United States",US,"South Dakota",US-SD,SD,Madison,0,5G3,,,,,,50,2009-12-21T18:36:02+00:00
22180,MN76,seaplane_base,"Marty's Tranquility Base",44.699962616,-93.47189331050001,911,NA,"United States",US,Minnesota,US-MN,MN,"Prior Lake",0,MN76,,MN76,,,45D,50,2009-12-28T10:30:40+00:00
28153,CBC3,seaplane_base,"Alert Bay Seaplane Base",50.58330154418945,-126.93299865722656,,NA,Canada,CA,"British Columbia",CA-BC,BC,,0,CBC3,,CBC3,,,,25,2008-07-14T08:45:08+00:00
28154,CPN6,seaplane_base,"Algoma Mills Seaplane Base",46.18330001831055,-82.83329772949219,602,NA,Canada,CA,Ontario,CA-ON,ON,,0,CPN6,,CPN6,,,,25,2008-06-13T14:30:04+00:00
28156,CBE7,seaplane_base,"Alliford Bay Seaplane Base",53.21500015258789,-131.99099731445312,,NA,Canada,CA,"British Columbia",CA-BC,BC,,0,CBE7,,CBE7,,,,25,2008-07-14T08:45:08+00:00
28158,CSC6,seaplane_base,"Amos (Lac Figuery) Seaplane Base",48.499698638916016,-78.1177978515625,,NA,Canada,CA,Quebec,CA-QC,QC,,0,CSC6,,CSC6,,,,25,2008-07-14T08:45:08+00:00
28159,CES6,seaplane_base,"Arctic Red River Seaplane Base",67.44999694824219,-133.75,,NA,Canada,CA,"Northwest Territories",CA-NT,NT,,0,CES6,,CES6,,,,25,2008-07-14T08:45:08+00:00
28160,CJF6,seaplane_base,"Armstrong Seaplane Base",50.25,-89.05000305175781,1120,NA,Canada,CA,Ontario,CA-ON,ON,,0,CJF6,,CJF6,,,,25,2008-06-13T14:30:04+00:00
28168,CGL3,seaplane_base,"Bala/Gibson Lake Seaplane Base",44.94860076904297,-79.7260971069336,635,NA,Canada,CA,Ontario,CA-ON,ON,,0,CGL3,,CGL3,,,,25,2008-06-13T14:30:04+00:00
28170,CTP3,seaplane_base,"Barrage Gouin Seaplane Base",48.35419845581055,-74.10279846191406,1325,NA,Canada,CA,Quebec,CA-QC,QC,,0,CTP3,,CTP3,,,,25,2008-06-13T14:30:04+00:00
28173,CNF5,seaplane_base,"Batchawana Seaplane Base",46.91669845581055,-84.5999984741211,601,NA,Canada,CA,Ontario,CA-ON,ON,,0,CNF5,,CNF5,,,,25,2008-06-13T14:30:04+00:00
28176,CAR9,seaplane_base,"Bella Bella/Waglisla Seaplane Base",52.166698,-128.132994,0,NA,Canada,CA,"British Columbia",CA-BC,BC,,0,CAR9,,CAR9,,https://en.wikipedia.org/wiki/Bella_Bella/Waglisla_Water_Aerodrome,,25,2016-10-19T22:55:07+00:00
28178,CJS6,seaplane_base,"Big Hook Wilderness Camp Seaplane Base",53.56669998168945,-92.94999694824219,860,NA,Canada,CA,Ontario,CA-ON,ON,,0,CJS6,,CJS6,,,,25,2008-06-13T14:30:04+00:00
28179,CJX6,seaplane_base,"Bird River Seaplane Base",50.400001525878906,-95.75,826,NA,Canada,CA,Manitoba,CA-MB,MB,,0,CJX6,,CJX6,,,,25,2008-06-13T14:30:04+00:00
