Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Gps_code,Iata_code,Local_code
4369,LIQS,medium_airport,Siena-Ampugnano Airport,43.256302,11.255,LIQS,SAY,SI01
4370,LIRA,medium_airport,Ciampino–G. B. Pastine International Airport,41.7994,12.5949,LIRA,CIA,RM12
4372,LIRF,large_airport,Rome–Fiumicino Leonardo da Vinci International Airport,41.804532,12.251998,LIRF,FCO,RM11
4374,LIRI,medium_airport,Salerno Costa d'Amalfi Airport,40.620399,14.9113,LIRI,QSR,SA02
4375,LIRJ,medium_airport,Marina Di Campo Airport,42.7603,10.2394,LIRJ,EBA,LI04
4378,LIRN,large_airport,Naples International Airport,40.886002,14.2908,LIRN,NAP,NA01
4379,LIRP,large_airport,Pisa International Airport,43.683899,10.3927,LIRP,PSA,PI05
4380,LIRQ,medium_airport,Peretola Airport,43.810001,11.2051,LIRQ,FLR,FI04
4381,LIRS,medium_airport,Grosseto Air Base,42.759701,11.0719,LIRS,GRS,GR06
4384,LIRZ,medium_airport,Perugia San Francesco d'Assisi – Umbria International Airport,43.095901,12.5132,LIRZ,PEG,PG10
4386,LJLJ,large_airport,Ljubljana Jože Pučnik Airport,46.223701,14.4576,LJLJ,LJU,
4387,LJMB,medium_airport,Maribor Airport,46.4799,15.6861,LJMB,MBX,
4388,LJPZ,medium_airport,Portorož Airport,45.4734,13.615,LJPZ,POW,
4392,VCCS,small_airport,Sigiriya Air Force Base,7.956669807430001,80.7285003662,VCCS,GIU,
4398,LKKU,medium_airport,Kunovice Airport,49.02939987182617,17.439699172973633,LKKU,UHE,
4399,LKKV,medium_airport,Karlovy Vary International Airport,50.202999114990234,12.914999961853027,LKKV,KLV,
4402,LKMT,medium_airport,Ostrava Leos Janáček Airport,49.6963005065918,18.111099243164062,LKMT,OSR,
4405,LKPD,medium_airport,Pardubice Airport,50.01340103149414,15.73859977722168,LKPD,PED,
4407,LKPO,medium_airport,Přerov Air Base,49.42580032348633,17.404699325561523,LKPO,PRV,
4408,LKPR,large_airport,Václav Havel Airport Prague,50.1008,14.26,LKPR,PRG,
4409,LKTB,medium_airport,Brno-Tuřany Airport,49.15129852294922,16.694400787353516,LKTB,BRQ,
4410,LKVO,medium_airport,Vodochody Airport,50.216599,14.3958,LKVO,VOD,
4411,LLBG,large_airport,Ben Gurion International Airport,32.01139831542969,34.88669967651367,LLBG,TLV,
4412,LLBS,small_airport,Beersheba (Teyman) Airport,31.287000656128,34.722999572754,LLBS,BEV,
4416,LLEY,small_airport,Ein Yahav Airfield,30.621700286865234,35.20330047607422,LLEY,EIY,
4417,LLHA,medium_airport,Haifa International Airport,32.80939865112305,35.04309844970703,LLHA,HFA,
4419,LLIB,medium_airport,Rosh Pina Airport,32.980999,35.571899,LLIB,RPN,
4421,LLMZ,medium_airport,Bar Yehuda Airfield,31.32819938659668,35.38859939575195,LLMZ,MTZ,
4422,LLNV,medium_airport,Nevatim Air Base,31.208299636799996,35.012298584,LLNV,VTM,
4423,LLOV,small_airport,Ovda Airport,29.9403,34.935799,LLOV,VDA,
4425,LLRM,medium_airport,Ramon Air Base,30.776100158691406,34.66669845581055,LLRM,MIP,
4427,LMML,large_airport,Malta International Airport,35.857498,14.4775,LMML,MLA,
4430,LOWG,medium_airport,Graz Airport,46.9911,15.4396,LOWG,GRZ,
4431,LOWI,medium_airport,Innsbruck Airport,47.260201,11.344,LOWI,INN,
4432,LOWL,medium_airport,Linz-Hörsching Airport / Vogler Air Base,48.2332,14.1875,LOWL,LNZ,
4433,LOWS,medium_airport,Salzburg Airport,47.793300628699996,13.0043001175,LOWS,SZG,
4434,LOWW,large_airport,Vienna International Airport,48.110298,16.5697,LOWW,VIE,
4435,LOWK,medium_airport,Klagenfurt Airport,46.642502,14.3377,LOWK,KLU,
4437,LPAR,medium_airport,Alverca Air Base,38.883301,-9.0301,LPAR,AVR,
4439,LPAZ,medium_airport,Santa Maria Airport,36.97140121459961,-25.17060089111328,LPAZ,SMA,
4440,LPBG,medium_airport,Bragança Airport,41.8578,-6.70713,LPBG,BGC,
4441,LPBJ,medium_airport,Beja Airport / Airbase,38.078899,-7.9324,LPBJ,BYJ,
4442,LPBR,medium_airport,Braga Municipal Aerodrome,41.5871009827,-8.445139884949999,LPBR,BGZ,
4444,LPCS,medium_airport,Cascais Airport,38.724998,-9.35523,LPCS,CAT,
4447,LPFL,medium_airport,Flores Airport,39.455299377441406,-31.131399154663086,LPFL,FLW,
4448,LPFR,large_airport,Faro Airport,37.0144004822,-7.96590995789,LPFR,FAO,
4449,LPGR,medium_airport,Graciosa Airport,39.092201232910156,-28.029800415039062,LPGR,GRW,
4450,LPHR,medium_airport,Horta Airport,38.519901275634766,-28.715900421142578,LPHR,HOR,
4451,LPLA,medium_airport,Lajes Airport,38.761799,-27.090799,LPLA,TER,
4452,LPMA,medium_airport,Madeira International Airport Cristiano Ronaldo,32.697899,-16.7745,LPMA,FNC,
4453,LPMR,medium_airport,Monte Real Air Base,39.828335,-8.8875,LPMR,QLR,
4456,LPPD,large_airport,João Paulo II Airport,37.7411994934,-25.6979007721,LPPD,PDL,
4457,LPPI,medium_airport,Pico Airport,38.554298,-28.441299,LPPI,PIX,
4458,LPPM,medium_airport,Portimão Airport,37.1493,-8.58396,LPPM,PRM,
4459,LPPR,large_airport,Francisco de Sá Carneiro Airport,41.2481002808,-8.68138980865,LPPR,OPO,
4460,LPPS,medium_airport,Porto Santo Airport,33.0733985901,-16.3500003815,LPPS,PXO,
