Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Elevation_ft,Continent,Country_name,Iso_country,Region_name,Iso_region,Local_region,Municipality,Scheduled_service,Gps_code,Iata_code,Local_code,Home_link,Wikipedia_link,Keywords,Score,Last_updated,TranslateName
27236,ZWWW,large_airport,"Ürümqi Diwopu International Airport",43.907100677490234,87.47419738769531,2125,AS,China,CN,"Xinjiang Autonomous Region",CN-65,65,Ürümqi,1,ZWWW,URC,,,https://en.wikipedia.org/wiki/%C3%9Cr%C3%BCmqi_Diwopu_International_Airport,,1000,2009-04-16T22:29:21+00:00,乌鲁木齐地窝堡机场
26380,UTAA,large_airport,"Ashgabat International Airport",37.986801,58.361,692,AS,Turkmenistan,TM,Ahal,TM-A,A,Ashgabat,1,UTAA,ASB,,,https://en.wikipedia.org/wiki/Ashgabat_International_Airport,"Saparmurat Turkmenbashy International Airport",1050,2019-01-13T12:10:01+00:00,阿什哈巴德机场
26755,WAJJ,large_airport,"Sentani International Airport",-2.57695,140.516006,289,AS,Indonesia,ID,Papua,ID-PA,PA,"Jayapura-Papua Island",1,WAJJ,DJJ,,https://sentani-airport.co.id/en,https://en.wikipedia.org/wiki/Sentani_International_Airport,,1025,2022-01-27T16:05:53+00:00,
6462,UHWW,large_airport,"Vladivostok International Airport",43.396256,132.148155,59,EU,Russia,RU,"Primorsky Krai",RU-PRI,PRI,Artyom,1,UHWW,VVO,,http://www.vladivostokavia.ru/en/airport/,https://en.wikipedia.org/wiki/Vladivostok_International_Airport,"Vladivostok-Knevichi Airport",1000,2020-12-17T00:26:36+00:00,符拉迪沃斯托克机场
26404,UWKD,large_airport,"Kazan International Airport",55.606201171875,49.278701782227,411,EU,Russia,RU,"Republic of Tatarstan",RU-TA,TA,Kazan,1,UWKD,KZN,,http://www.kazan.aero/en/,https://en.wikipedia.org/wiki/Kazan_International_Airport,,1000,2015-09-22T07:29:47+00:00,
27220,ZSNB,large_airport,"Ningbo Lishe International Airport",29.82670021057129,121.46199798583984,13,AS,China,CN,"Zhejiang Province",CN-33,33,Ningbo,1,ZSNB,NGB,,,https://en.wikipedia.org/wiki/Ningbo_Lishe_International_Airport,,1000,2009-04-16T22:12:27+00:00,宁波栎社机场
27217,ZSFZ,large_airport,"Fuzhou Changle International Airport",25.934669,119.66318,46,AS,China,CN,"Fujian Province",CN-35,35,Fuzhou,0,ZSFZ,FOC,FOC,,https://en.wikipedia.org/wiki/Fuzhou_Changle_International_Airport,,1200,2022-02-18T13:00:05+00:00,福州长乐机场
5183,OIMM,large_airport,"Mashhad International Airport",36.235198974609375,59.64099884033203,3263,AS,Iran,IR,"Razavi Khorasan Province",IR-09,09,Mashhad,1,OIMM,MHD,,,https://en.wikipedia.org/wiki/Mashhad_International_Airport,"Shahid Hashemi Nejad Airport",1200,2009-03-25T08:12:12+00:00,马什哈德机场
27243,ZYTX,large_airport,"Shenyang Taoxian International Airport",41.639801,123.483002,198,AS,China,CN,"Liaoning Province",CN-21,21,"Hunnan, Shenyang",1,ZYTX,SHE,,,https://en.wikipedia.org/wiki/Shenyang_Taoxian_International_Airport,,1050,2021-01-21T14:06:30+00:00,沈阳桃仙机场
3095,GFLL,large_airport,"Lungi International Airport",8.61644,-13.1955,84,AF,"Sierra Leone",SL,"Northern Province",SL-N,N,"Freetown (Lungi-Town)",1,GFLL,FNA,,http://www.freetownairport.com/,https://en.wikipedia.org/wiki/Lungi_International_Airport,,1000,2021-04-27T16:51:37+00:00,弗里敦机场
